scan_id,scan_name,type,scanGroupId,carrier,carrierId,current_scan_group,proposed_scan_group,proposed_sg_gpt_gpt-4o-mini,proposed_sg_gpt_gpt-4o-mini_1,proposed_sg_gpt_gpt-4o-mini_2,proposed_sg_gpt_gpt-4o-mini_3,proposed_sg_gpt_gpt-4o-mini_4,proposed_sg_gpt_gpt-4o-mini_5,proposed_sg_gpt_gpt-4o-mini_6,proposed_sg_gpt_gpt-4o-mini_7
packages are ready for ups pickup and will be returned due to aging-UPS UK-Shipment to be returned,packages are ready for ups pickup and will be returned due to aging,RegEx,5ea46330-cc6d-4f62-b891-7e347342f3dd,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Shipment to be returned,Shipment to be returned,,,,,,,,
address information is missing the package was returned to the sender-UPS UK-Shipment to be returned,address information is missing the package was returned to the sender,RegEx,5ea46330-cc6d-4f62-b891-7e347342f3dd,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Shipment to be returned,Package returned to sender due to incomplete address,,,,,,,,
your package has been delayed by a clearance agency a hold was placed on the airplane-UPS UK-Clearance has been delayed by customs or other government agency,your package has been delayed by a clearance agency a hold was placed on the airplane,RegEx,e88ff616-6014-4117-9c92-de79a974709f,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Clearance has been delayed by customs or other government agency,Clearance has been delayed by customs or other government agency,,,,,,,,
your package has been delayed by a clearance agency work stoppage-UPS UK-Clearance has been delayed by customs or other government agency,your package has been delayed by a clearance agency work stoppage,RegEx,e88ff616-6014-4117-9c92-de79a974709f,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Clearance has been delayed by customs or other government agency,Clearance has been delayed by customs or other government agency,,,,,,,,
we ve misrouted the package this may cause a delay-UPS UK-Carrier error delayed delivery,we ve misrouted the package this may cause a delay,RegEx,ea0d4eb0-2f76-4002-bbd7-1e853a32948b,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Carrier error delayed delivery,Carrier misrouted the shipment - Corrective action underway,,,,,,,,
we ve incorrectly sorted this package which may cause a delay-UPS UK-Carrier error delayed delivery,we ve incorrectly sorted this package which may cause a delay,RegEx,ea0d4eb0-2f76-4002-bbd7-1e853a32948b,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Carrier error delayed delivery,Carrier misrouted the shipment - Corrective action underway,,,,,,,,
we ve incorrectly sorted the package at our facility this may cause at least one business day delay-UPS UK-Carrier misrouted the shipment - Corrective action underway,we ve incorrectly sorted the package at our facility this may cause at least one business day delay,RegEx,063db3fe-b8dc-4500-a63e-96a2441b08f3,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Carrier misrouted the shipment - Corrective action underway,Carrier misrouted the shipment - Corrective action underway,,,,,,,,
missorted to an incorrect location-UPS UK-Carrier error delayed delivery,missorted to an incorrect location,RegEx,ea0d4eb0-2f76-4002-bbd7-1e853a32948b,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Carrier error delayed delivery,Carrier misrouted the shipment - Corrective action underway,In Transit,In Transit,In Transit,In Transit,Carrier misrouted the shipment - Corrective action underway,Carrier misrouted the shipment - Corrective action underway,Carrier misrouted the shipment - Corrective action underway,Carrier misrouted the shipment - Corrective action underway
warehouse entry clearance details necessary for customs clearance have been requested from the receiver-UPS UK-Additional information required for customs clearance,warehouse entry clearance details necessary for customs clearance have been requested from the receiver,RegEx,e21a9237-0517-450e-9ccb-53c87df229f9,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Additional information required for customs clearance,Additional information required for customs clearance,,,,,,,,
transportation accident occurred-UPS UK-Delivery delayed due to a traffic related issue,transportation accident occurred,RegEx,d85cc369-31bf-43aa-9329-ab420060f618,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delivery delayed due to a traffic related issue,Delivery delayed due to a traffic related issue,,,,,,,,
a transportation accident has delayed delivery-UPS UK-Delivery delayed due to a traffic related issue,a transportation accident has delayed delivery,RegEx,d85cc369-31bf-43aa-9329-ab420060f618,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delivery delayed due to a traffic related issue,Delivery delayed due to a traffic related issue,,,,,,,,Transit delay
incomplete or missing documentation must be obtained for clearance ups is attempting to obtain this information-UPS UK-Missing or incomplete export documentation,incomplete or missing documentation must be obtained for clearance ups is attempting to obtain this information,RegEx,670d81f1-0218-4fb2-848d-6a3bd0098713,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Missing or incomplete export documentation,Additional information or paperwork required for customs clearance,,,,,,,,
additional import documentation is required for clearance-UPS UK-Missing or incomplete export documentation,additional import documentation is required for clearance,RegEx,670d81f1-0218-4fb2-848d-6a3bd0098713,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Missing or incomplete export documentation,Additional information or paperwork required for customs clearance,,,,,,,,
additional clearing agency information or documentation is required for clearance-UPS UK-Missing or incomplete export documentation,additional clearing agency information or documentation is required for clearance,RegEx,670d81f1-0218-4fb2-848d-6a3bd0098713,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Missing or incomplete export documentation,Additional information or paperwork required for customs clearance,,,,,,,,
the shipper s export declaration document is missing and is required for clearance-UPS UK-Missing or incomplete export documentation,the shipper s export declaration document is missing and is required for clearance,RegEx,670d81f1-0218-4fb2-848d-6a3bd0098713,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Missing or incomplete export documentation,Missing or incomplete export documentation,,,,,,,,
the commercial invoice is missing and is required for export-UPS UK-Missing or incomplete export documentation,the commercial invoice is missing and is required for export,RegEx,670d81f1-0218-4fb2-848d-6a3bd0098713,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Missing or incomplete export documentation,Missing or incomplete export documentation,,,,,,,,
duties or taxes are due on this package-UPS UK-Import charges are due,duties or taxes are due on this package,RegEx,cba98df5-340e-469c-bfe1-2a6cc80a78b5,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Import charges are due,Import charges are due,,,,,,,,
ups is awaiting payment authorization from the receiver-UPS UK-Held awaiting tax payment by the receiver,ups is awaiting payment authorization from the receiver,RegEx,b57205dc-a8ba-4dfe-b958-85b18d25e4bd,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Held awaiting tax payment by the receiver,Held awaiting tax payment by the receiver,,,,,,,,
shipment on hold awaiting payment of duty amp tax-UPS UK-Held awaiting tax payment by the receiver,shipment on hold awaiting payment of duty amp tax,RegEx,b57205dc-a8ba-4dfe-b958-85b18d25e4bd,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Held awaiting tax payment by the receiver,Held awaiting tax payment by the receiver,,,,,,,,
import c o d icod charges are due for this shipment-UPS UK-Import charges are due,import c o d icod charges are due for this shipment,RegEx,cba98df5-340e-469c-bfe1-2a6cc80a78b5,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Import charges are due,Import charges are due,,,,,,,,
the movement of the package will resume as soon as the weather conditions allow-UPS UK-Delay due to adverse weather conditions,the movement of the package will resume as soon as the weather conditions allow,RegEx,846d6640-376c-49b4-96d7-f5af9ab057d7,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delay due to adverse weather conditions,Delay due to adverse weather conditions,,,,,,,,
recent weather has caused delivery delays recovery efforts are under way to deliver your package as soon as possible-UPS UK-Delay due to adverse weather conditions,recent weather has caused delivery delays recovery efforts are under way to deliver your package as soon as possible,RegEx,846d6640-376c-49b4-96d7-f5af9ab057d7,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delay due to adverse weather conditions,Delay due to adverse weather conditions,,,,,,,,
network disruption due to prior weather conditions check ups com for further updates-UPS UK-Delay due to adverse weather conditions,network disruption due to prior weather conditions check ups com for further updates,RegEx,846d6640-376c-49b4-96d7-f5af9ab057d7,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delay due to adverse weather conditions,Delay due to adverse weather conditions,,,,,,,,
package held ups will contact customer for further instructions-UPS UK-Shipment on hold,package held ups will contact customer for further instructions,RegEx,1bd2ae08-39db-4489-a573-5ba5281922a6,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Shipment on hold,Shipment on hold,,,,,,,,
the package is in storage-UPS UK-Shipment on hold,the package is in storage,RegEx,1bd2ae08-39db-4489-a573-5ba5281922a6,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Shipment on hold,Warehouse Scan,,,,,,,,
the address has been corrected the delivery has been rescheduled-UPS UK-Rescheduled delivery due to updated address,the address has been corrected the delivery has been rescheduled,RegEx,f77abb6a-14d1-485f-91b6-71ed3e096044,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Rescheduled delivery due to updated address,Rescheduled delivery due to updated address,,,,,,,,
your package is delayed at export and is awaiting release from customs-UPS UK-Awaiting release from customs,your package is delayed at export and is awaiting release from customs,RegEx,242a0d42-f28c-41ca-8c57-c3bf000812a8,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Awaiting release from customs,Awaiting release from customs,,,,,,,,
your package is awaiting release from the clearing agency for formal entry at the export location-UPS UK-Awaiting release from customs,your package is awaiting release from the clearing agency for formal entry at the export location,RegEx,242a0d42-f28c-41ca-8c57-c3bf000812a8,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Awaiting release from customs,Awaiting release from customs,,,,,,,,
your package is awaiting clearance related to the department of alcohol tobacco firearms requirements-UPS UK-Awaiting release from customs,your package is awaiting clearance related to the department of alcohol tobacco firearms requirements,RegEx,242a0d42-f28c-41ca-8c57-c3bf000812a8,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Awaiting release from customs,Held for inspection by government agency,,,,,,,,
your package is at the clearing agency awaiting further release-UPS UK-Awaiting release from customs,your package is at the clearing agency awaiting further release,RegEx,242a0d42-f28c-41ca-8c57-c3bf000812a8,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Awaiting release from customs,Awaiting release from customs,,,,,,,,
your package is at the clearing agency awaiting final release-UPS UK-Awaiting release from customs,your package is at the clearing agency awaiting final release,RegEx,242a0d42-f28c-41ca-8c57-c3bf000812a8,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Awaiting release from customs,Awaiting release from customs,,,,,,,,
this shipment is warehoused until it is released by clearing agency-UPS UK-Awaiting release from customs,this shipment is warehoused until it is released by clearing agency,RegEx,242a0d42-f28c-41ca-8c57-c3bf000812a8,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Shipment on hold,Shipment on hold,,,,,,,,
the package is awaiting clearing agency review-UPS UK-Awaiting release from customs,the package is awaiting clearing agency review,RegEx,242a0d42-f28c-41ca-8c57-c3bf000812a8,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Awaiting release from customs,Awaiting release from customs,,,,,,,,
shipment submitted to clearing agency awaiting final release-UPS UK-Awaiting release from customs,shipment submitted to clearing agency awaiting final release,RegEx,242a0d42-f28c-41ca-8c57-c3bf000812a8,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Awaiting release from customs,Awaiting release from customs,,,,,,,,
shipment pending release from clearance agency-UPS UK-Awaiting release from customs,shipment pending release from clearance agency,RegEx,242a0d42-f28c-41ca-8c57-c3bf000812a8,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Awaiting release from customs,Awaiting release from customs,,,,,,,,
awaiting release from clearance-UPS UK-Awaiting release from customs,awaiting release from clearance,RegEx,242a0d42-f28c-41ca-8c57-c3bf000812a8,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Awaiting release from customs,Awaiting release from customs,,,,,,,,
customer was not available when ups attempted delivery will deliver to a nearby ups access point for customer pickup-UPS UK-Delivery attempted. Receiver not available for delivery. Shipment to be delivered to a nearby pick-up point.,customer was not available when ups attempted delivery will deliver to a nearby ups access point for customer pickup,RegEx,66fc71f9-e01b-4b87-9138-14ebf068c01e,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delivery attempted. Receiver not available for delivery. Shipment to be delivered to a nearby pick-up point.,Delivery attempted. Receiver not available for delivery. Shipment to be delivered to a nearby pick-up point.,,,,,,,,
